date,5.0,7.0,10.0,20.0,30.0
2003-01-02,0.013073496,0.014038032,0.017107017,,
2003-01-03,0.012870679,0.013728638,0.01690864,,
2003-01-06,0.013167564,0.013918512,0.016989275,,
2003-01-07,0.012873694,0.013836398,0.016893702,,
2003-01-08,0.013382731,0.014453873,0.017835217,,
2003-01-09,0.014185137,0.015693502,0.018511544,,
2003-01-10,0.014092563,0.015494687,0.018197042,,
2003-01-13,0.014088721,0.015489259,0.018425078,,
2003-01-14,0.013890129,0.015609135,0.018320826,,
2003-01-15,0.014192061,0.015805476,0.018747017,,
2003-01-16,0.014090304,0.015382313,0.018661226,,
2003-01-17,0.014598737,0.015679925,0.018734369,,
2003-01-21,0.013890966,0.015289637,0.018564606,,
2003-01-22,0.013484458,0.014768522,0.01793269,,
2003-01-23,0.014290639,0.015472449,0.018530942,,
2003-01-24,0.014695125,0.015773281,0.018716888,,
2003-01-27,0.014795356,0.016194823,0.018910499,,
2003-01-28,0.014795353,0.01587563,0.018824164,,
2003-01-29,0.015295565,0.016591842,0.019202103,,
2003-01-30,0.014695917,0.015879591,0.018700156,,
2003-01-31,0.014993357,0.016073302,0.018790115,,
2003-02-03,0.015301207,0.016057991,0.018766313,,
2003-02-04,0.015506516,0.016583196,0.019062205,,
2003-02-05,0.016212022,0.017186801,0.019663547,,
2003-02-06,0.016317169,0.01728931,0.019430579,,
2003-02-07,0.016117633,0.016988156,0.019592556,,
2003-02-10,0.016724468,0.017594479,0.019959763,,
2003-02-11,0.016322332,0.017407228,0.019996355,,
2003-02-12,0.016117763,0.017202855,0.019585281,,
2003-02-13,0.015715399,0.016906809,0.019520342,,
2003-02-14,0.016320236,0.017301642,0.01992563,,
2003-02-18,0.016413782,0.017288029,0.019574127,,
2003-02-19,0.016313319,0.016863006,0.01959593,,
2003-02-20,0.017022823,0.017684196,0.020086599,,
2003-02-21,0.01742367,0.018090673,0.020394718,,
2003-02-24,0.017929661,0.018178048,0.020593001,,
2003-02-25,0.017829509,0.01839085,0.020356023,,
2003-02-26,0.017521953,0.017762694,0.020062824,,
2003-02-27,0.017822111,0.017746793,0.020040391,,
2003-02-28,0.017624328,0.017864917,0.020042887,,
2003-03-03,0.017421285,0.017658546,0.019726346,,
2003-03-04,0.017320769,0.017453779,0.019417142,,
2003-03-05,0.016918925,0.017261332,0.019448434,,
2003-03-06,0.017426701,0.017770092,0.019960237,,
