date,0.08333333333333333,0.25,0.5,1.0,2.0,3.0,5.0,7.0,10.0,20.0,30.0
1990-01-02,0.077760345,0.077589233,0.077232536,0.076652991,0.077193527,0.077509922,0.077202773,0.078476043,0.077860669,0.078408275,0.079656191
1990-01-03,0.078395036,0.078164899,0.077703374,0.077052042,0.0778626,0.078095084,0.077672777,0.079069056,0.078312704,0.078725987,0.080069867
1990-01-04,0.077877938,0.077686838,0.077298828,0.076771055,0.077665624,0.077811293,0.077594706,0.07887394,0.078252318,0.07881618,0.080011111
1990-01-05,0.077342346,0.077180949,0.076859248,0.076470332,0.077494296,0.07792492,0.077708123,0.078978157,0.078355056,0.079039716,0.080311936
1990-01-08,0.077328412,0.077251607,0.077056075,0.076665608,0.077498062,0.07801234,0.077702449,0.079206581,0.078700324,0.079336281,0.080687813
1990-01-09,0.077440777,0.077178489,0.076713822,0.076362393,0.07759388,0.077926659,0.077710137,0.07921863,0.078707804,0.079486653,0.080823141
1990-01-10,0.076875871,0.076682306,0.076357733,0.07625937,0.07760628,0.078036045,0.077689494,0.078623568,0.078950313,0.079783231,0.080411044
1990-01-11,0.077439268,0.077128519,0.076595427,0.076258381,0.077595462,0.078043184,0.077902948,0.078717251,0.07904634,0.079772778,0.080258959
1990-01-12,0.076844104,0.076704471,0.076427856,0.076204937,0.077786458,0.078355826,0.078419917,0.079344989,0.07965747,0.080366582,0.080875213
1990-01-16,0.078342537,0.078249416,0.078028834,0.077769844,0.079411286,0.079791174,0.079525511,0.08034831,0.080545686,0.081029645,0.081513852
1990-01-17,0.079196417,0.078817344,0.078145574,0.077638751,0.079308192,0.079598955,0.079542569,0.080246981,0.080447767,0.081091474,0.081501998
1990-01-18,0.079787865,0.079554504,0.079146939,0.078990932,0.080863704,0.08124623,0.081072765,0.081542157,0.081628937,0.081924056,0.082206875
1990-01-19,0.079376523,0.079084335,0.078601163,0.078490944,0.080391884,0.080760325,0.080374504,0.08084967,0.081075529,0.081357698,0.081605511
1990-01-22,0.07928855,0.0789658,0.078433838,0.078298704,0.08019307,0.080468471,0.080303488,0.08101061,0.081212871,0.081593494,0.081942319
1990-01-23,0.078645088,0.078451927,0.078138918,0.078216237,0.080198363,0.080472052,0.080193603,0.080787524,0.081133918,0.081392366,0.081586064
1990-01-24,0.078592465,0.078485783,0.078319363,0.078484956,0.080426032,0.08136762,0.081204867,0.081894374,0.082361504,0.082565442,0.08280964
1990-01-25,0.078771774,0.078671516,0.078525579,0.078775455,0.08081144,0.081652547,0.081495316,0.082421319,0.082736712,0.083049943,0.083515034
1990-01-26,0.078505957,0.078568954,0.078695715,0.0791686,0.08120749,0.082242117,0.082189271,0.082990935,0.08344705,0.084036723,0.084456511
1990-01-29,0.079306933,0.079249516,0.079143168,0.07928065,0.081381039,0.082343466,0.082276329,0.082967491,0.083566028,0.08389853,0.084080668
1990-01-30,0.079348599,0.079388131,0.079399655,0.079408879,0.081360753,0.082351653,0.082706425,0.083150941,0.083621917,0.084007654,0.084068087
1990-01-31,0.079353975,0.079367806,0.079337677,0.079305233,0.081170375,0.082042812,0.081865524,0.082325635,0.08281175,0.083061685,0.083177036
1990-02-01,0.079542727,0.079512129,0.079420637,0.079389711,0.081165767,0.081938931,0.081869603,0.082212503,0.082705182,0.082846585,0.082831384
1990-02-02,0.080064939,0.079980826,0.079803212,0.079792287,0.082031305,0.082725558,0.082532674,0.083000843,0.08348535,0.083475969,0.083473061
1990-02-05,0.080132307,0.080068224,0.079932969,0.079973469,0.08203016,0.082718661,0.082747968,0.083212151,0.083826054,0.083673475,0.083513329
1990-02-06,0.080253294,0.080114056,0.079869978,0.079999022,0.082485109,0.082729473,0.083272311,0.083622306,0.084229475,0.084254198,0.083895242
1990-02-07,0.080120037,0.080076619,0.079987443,0.080194679,0.082481515,0.082722175,0.08349051,0.083704815,0.08351172,0.084158608,0.084340421
1990-02-08,0.080190952,0.080085269,0.079865516,0.079811147,0.081998261,0.082335819,0.082890913,0.083230256,0.083301152,0.083363859,0.083336669
1990-02-09,0.079645926,0.079446655,0.079067013,0.078843237,0.080828943,0.080863839,0.08132837,0.081905951,0.081433074,0.082032548,0.082580867
1990-02-12,0.079299942,0.079247065,0.079113227,0.079158496,0.081512409,0.081659185,0.082105086,0.082566896,0.082364857,0.082699634,0.082959832
1990-02-13,0.077750156,0.077773861,0.07779327,0.078094079,0.08046254,0.0806014,0.081383358,0.08218817,0.081949713,0.082357684,0.082770196
1990-02-14,0.077923638,0.078018848,0.078202775,0.078835149,0.081052863,0.08116823,0.08183771,0.082057445,0.082003841,0.08263557,0.082751444
1990-02-15,0.07892365,0.078955141,0.079035856,0.079595122,0.08182604,0.08193035,0.082393914,0.082852568,0.082652053,0.08312067,0.083431896
1990-02-16,0.078648896,0.078711768,0.078834517,0.079432998,0.081907317,0.081846888,0.082504527,0.082729929,0.082540795,0.083058884,0.0831788
